number,name,url,description,desc_url,airdate
647,LaDonna,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/647.mp3,"A security guard at the airport notices something going wrong on the tarmac, and takes it upon herself to fix it. It’s way harder than she expects.",https://tal.fm/647,"Sun, 09 Jun 2019 18:00:00 -0400"
647,LaDonna,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/647.mp3,"A security guard at the airport notices something going wrong on the tarmac, and takes it upon herself to fix it. It’s way harder than she expects.",https://tal.fm/647,"Sun, 09 Jun 2019 18:00:00 -0400"
676,"Here’s Looking at You, Kid",https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/3d81439e-3159-401f-b19c-83c9c40789cc/676.mp3,"Adults telling kids who they are, and kids wondering — are they right?",https://tal.fm/676,"Sun, 02 Jun 2019 18:00:00 -0400"
676,"Here’s Looking at You, Kid",https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/676.mp3,"Adults telling kids who they are, and kids wondering — are they right?",https://tal.fm/676,"Sun, 02 Jun 2019 18:00:00 -0400"
676,"Here’s Looking at You, Kid",https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/676.mp3,"Adults telling kids who they are, and kids wondering — are they right?",https://tal.fm/676,"Sun, 02 Jun 2019 18:00:00 -0400"
199,House on Loon Lake,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/199.mp3,"A real-life Hardy Boys mystery. More than most of our shows, this one lends itself to a Hollywood-style tagline. Perhaps: ""The House at Loon Lake: You Might Break In ... But You'll Never Forget."" Or, ""The House at Loon Lake: Dead Letters Tell No Tales."" It's the true story of an abandoned house, discovered by a young boy in the 1970s, and the mystery of why it was abandoned.",https://tal.fm/199,"Sun, 26 May 2019 18:00:00 -0400"
199,House on Loon Lake,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/199.mp3,"A real-life Hardy Boys mystery. More than most of our shows, this one lends itself to a Hollywood-style tagline. Perhaps: ""The House at Loon Lake: You Might Break In ... But You'll Never Forget."" Or, ""The House at Loon Lake: Dead Letters Tell No Tales."" It's the true story of an abandoned house, discovered by a young boy in the 1970s, and the mystery of why it was abandoned.",https://tal.fm/199,"Sun, 26 May 2019 18:00:00 -0400"
675,I’m on TV??,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/2190e23d-bfab-4ce5-90a9-a64835b3a5f8/675.mp3,What it's like to be momentarily big on the small screen.,https://tal.fm/675,"Sun, 19 May 2019 18:00:00 -0400"
675,I’m on TV??,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/675.mp3,What it's like to be momentarily big on the small screen.,https://tal.fm/675,"Sun, 19 May 2019 18:00:00 -0400"
675,I’m on TV??,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/675.mp3,What it's like to be momentarily big on the small screen.,https://tal.fm/675,"Sun, 19 May 2019 18:00:00 -0400"
